tenhuyen,,0
Thị xã La Gi,0,2.0
Thị xã La Gi,2010,374.0
Thị xã La Gi,2011,396.0
Thị xã La Gi,2012,548.0
Thị xã La Gi,2013,661.0
Thị xã La Gi,2014,1053.0
Thị xã La Gi,2015,1175.9
Thị xã La Gi,2016,1212.0
Thị xã La Gi,2017,1291.0
Thị xã La Gi,2018,1300.0
Thị xã La Gi,2019,1500.0
Thị xã La Gi,2020,1550.0
Thị xã La Gi,2021,1580.0
Huyện Tuy Phong,0,3.0
Huyện Tuy Phong,2010,41.0
Huyện Tuy Phong,2011,87.0
Huyện Tuy Phong,2012,71.0
Huyện Tuy Phong,2013,100.0
Huyện Tuy Phong,2014,132.0
Huyện Tuy Phong,2015,203.9
Huyện Tuy Phong,2016,284.0
Huyện Tuy Phong,2017,314.0
Huyện Tuy Phong,2018,400.0
Huyện Tuy Phong,2019,609.0
Huyện Tuy Phong,2020,697.3
Huyện Tuy Phong,2021,670.0
Huyện Bắc Bình,0,4.0
Huyện Bắc Bình,2010,669.0
Huyện Bắc Bình,2011,633.0
Huyện Bắc Bình,2012,1140.0
Huyện Bắc Bình,2013,1350.0
Huyện Bắc Bình,2014,2100.0
Huyện Bắc Bình,2015,2396.4
Huyện Bắc Bình,2016,2796.0
Huyện Bắc Bình,2017,3041.0
Huyện Bắc Bình,2018,4060.0
Huyện Bắc Bình,2019,4214.0
Huyện Bắc Bình,2020,4549.0
Huyện Bắc Bình,2021,4267.0
Huyện Hàm Thuận Bắc,0,5.0
Huyện Hàm Thuận Bắc,2010,4784.0
Huyện Hàm Thuận Bắc,2011,6116.0
Huyện Hàm Thuận Bắc,2012,6334.0
Huyện Hàm Thuận Bắc,2013,6770.0
Huyện Hàm Thuận Bắc,2014,8002.0
Huyện Hàm Thuận Bắc,2015,8678.9
Huyện Hàm Thuận Bắc,2016,8970.0
Huyện Hàm Thuận Bắc,2017,8950.0
Huyện Hàm Thuận Bắc,2018,8970.0
Huyện Hàm Thuận Bắc,2019,8988.7
Huyện Hàm Thuận Bắc,2020,8940.0
Huyện Hàm Thuận Bắc,2021,7869.8
Huyện Hàm Thuận Nam,0,6.0
Huyện Hàm Thuận Nam,2010,7026.0
Huyện Hàm Thuận Nam,2011,10796.0
Huyện Hàm Thuận Nam,2012,10827.0
Huyện Hàm Thuận Nam,2013,11029.0
Huyện Hàm Thuận Nam,2014,11719.0
Huyện Hàm Thuận Nam,2015,12182.9
Huyện Hàm Thuận Nam,2016,12275.0
Huyện Hàm Thuận Nam,2017,12373.0
Huyện Hàm Thuận Nam,2018,12497.0
Huyện Hàm Thuận Nam,2019,12856.0
Huyện Hàm Thuận Nam,2020,15201.2
Huyện Hàm Thuận Nam,2021,15194.6
Huyện Tánh Linh,0,7.0
Huyện Tánh Linh,2010,29.0
Huyện Tánh Linh,2011,23.0
Huyện Tánh Linh,2012,31.0
Huyện Tánh Linh,2013,49.0
Huyện Tánh Linh,2014,70.0
Huyện Tánh Linh,2015,122.7
Huyện Tánh Linh,2016,138.0
Huyện Tánh Linh,2017,122.0
Huyện Tánh Linh,2018,125.0
Huyện Tánh Linh,2019,117.0
Huyện Tánh Linh,2020,112.0
Huyện Tánh Linh,2021,84.0
Huyện Đức Linh,0,8.0
Huyện Đức Linh,2014,15.0
Huyện Đức Linh,2015,17.2
Huyện Đức Linh,2016,17.2
Huyện Đức Linh,2017,28.9
Huyện Đức Linh,2018,28.9
Huyện Đức Linh,2019,19.9
Huyện Đức Linh,2020,12.6
Huyện Hàm Tân,0,9.0
Huyện Hàm Tân,2010,146.0
Huyện Hàm Tân,2011,169.0
Huyện Hàm Tân,2012,233.0
Huyện Hàm Tân,2013,312.0
Huyện Hàm Tân,2014,601.0
Huyện Hàm Tân,2015,888.0
Huyện Hàm Tân,2016,920.5
Huyện Hàm Tân,2017,1143.5
Huyện Hàm Tân,2018,1377.0
Huyện Hàm Tân,2019,1817.7
Huyện Hàm Tân,2020,2073.0
Huyện Hàm Tân,2021,2190.0
Huyện Phú Quý,0,10.0
Huyện Phú Quý,2015,0.6
Huyện Phú Quý,2016,0.4
Huyện Phú Quý,2017,1.0
Huyện Phú Quý,2018,1.0
Huyện Phú Quý,2019,1.0
Huyện Phú Quý,2020,2.2
Huyện Phú Quý,2021,2.2
